ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,path,FileName
10.161.240.44,d70-s6-pm4,d70-s6-pm4.virt.daumkakao.io,datacenter70,d70-s06-cluster,datastore70-s6-pm4,10.61.238.44,10.61.239.44,10.61.238.156,10.61.239.156,10.61.238.186,10.61.239.186,10.161.243.44,/vmfs/volumes/d70-s6-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.45,d70-s7-pm1,d70-s7-pm1.virt.daumkakao.io,datacenter70,d70-s07-cluster,datastore70-s7-pm1,10.61.238.45,10.61.239.45,10.61.238.157,10.61.239.157,10.61.238.187,10.61.239.187,10.161.243.45,/vmfs/volumes/d70-s7-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.46,d70-s7-pm2,d70-s7-pm2.virt.daumkakao.io,datacenter70,d70-s07-cluster,datastore70-s7-pm2,10.61.238.46,10.61.239.46,10.61.238.157,10.61.239.157,10.61.238.187,10.61.239.187,10.161.243.46,/vmfs/volumes/d70-s7-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.47,d70-s7-pm3,d70-s7-pm3.virt.daumkakao.io,datacenter70,d70-s07-cluster,datastore70-s7-pm3,10.61.238.47,10.61.239.47,10.61.238.157,10.61.239.157,10.61.238.187,10.61.239.187,10.161.243.47,/vmfs/volumes/d70-s7-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.48,d70-s7-pm4,d70-s7-pm4.virt.daumkakao.io,datacenter70,d70-s07-cluster,datastore70-s7-pm4,10.61.238.48,10.61.239.48,10.61.238.157,10.61.239.157,10.61.238.187,10.61.239.187,10.161.243.48,/vmfs/volumes/d70-s7-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.49,d70-s8-pm1,d70-s8-pm1.virt.daumkakao.io,datacenter70,d70-s08-cluster,datastore70-s8-pm1,10.61.238.49,10.61.239.49,10.61.238.158,10.61.239.158,10.61.238.188,10.61.239.188,10.161.243.49,/vmfs/volumes/d70-s8-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.50,d70-s8-pm2,d70-s8-pm2.virt.daumkakao.io,datacenter70,d70-s08-cluster,datastore70-s8-pm2,10.61.238.50,10.61.239.50,10.61.238.158,10.61.239.158,10.61.238.188,10.61.239.188,10.161.243.50,/vmfs/volumes/d70-s8-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.51,d70-s8-pm3,d70-s8-pm3.virt.daumkakao.io,datacenter70,d70-s08-cluster,datastore70-s8-pm3,10.61.238.51,10.61.239.51,10.61.238.158,10.61.239.158,10.61.238.188,10.61.239.188,10.161.243.51,/vmfs/volumes/d70-s8-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.52,d70-s8-pm4,d70-s8-pm4.virt.daumkakao.io,datacenter70,d70-s08-cluster,datastore70-s8-pm4,10.61.238.52,10.61.239.52,10.61.238.158,10.61.239.158,10.61.238.188,10.61.239.188,10.161.243.52,/vmfs/volumes/d70-s8-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.53,d70-s9-pm1,d70-s9-pm1.virt.daumkakao.io,datacenter70,d70-s09-cluster,datastore70-s9-pm1,10.61.238.53,10.61.239.53,10.61.238.159,10.61.239.159,10.61.238.189,10.61.239.189,10.161.243.53,/vmfs/volumes/d70-s9-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
